"administrative_area_level_1","country","n"
"Vojvodina","Serbia",112
NA,"Serbia",61
"Federacija Bosne i Hercegovine","Bosnia and Herzegovina",21
"Istarska županija","Croatia",10
"Primorsko-goranska županija","Croatia",8
"Međimurska županija","Croatia",7
"Municipality of Novo Selo","Macedonia (FYROM)",6
"Gostivar","Macedonia (FYROM)",3
"Vukovarsko-srijemska županija","Croatia",3
"Zagrebačka županija","Croatia",3
NA,"Croatia",3
"Municipality of Bogdanci","Macedonia (FYROM)",2
"Republika Srpska","Bosnia and Herzegovina",2
"Strumitsa","Macedonia (FYROM)",2
"Valandovo","Macedonia (FYROM)",2
NA,"Macedonia (FYROM)",2
"Delchevo","Macedonia (FYROM)",1
"Dojran","Macedonia (FYROM)",1
"Glavni grad Podgorica","Montenegro",1
"Gornja Radgona","Slovenia",1
"Ilirska Bistrica","Slovenia",1
"Jesenice","Slovenia",1
"Karlovačka županija","Croatia",1
"Laško","Slovenia",1
"Municipality of Berovo","Macedonia (FYROM)",1
"Municipality of Bitola","Macedonia (FYROM)",1
"Municipality of Bogovinje","Macedonia (FYROM)",1
"Municipality of Demir Hisar","Macedonia (FYROM)",1
"Municipality of Demir Kapija","Macedonia (FYROM)",1
"Municipality of Gevgelija","Macedonia (FYROM)",1
"Municipality of Gradsko","Macedonia (FYROM)",1
"Municipality of Kichevo","Macedonia (FYROM)",1
"Municipality of Kumanovo","Macedonia (FYROM)",1
"Municipality of Makedonski Brod","Macedonia (FYROM)",1
"Municipality of Shtip","Macedonia (FYROM)",1
"Municipality of Struga","Macedonia (FYROM)",1
"Municipality of Veles","Macedonia (FYROM)",1
"Municipality of Vinica","Macedonia (FYROM)",1
"Opština Rožaje","Montenegro",1
"Opština Tivat","Montenegro",1
"Osječko-baranjska županija","Croatia",1
"Postojna","Slovenia",1
"Radovish","Macedonia (FYROM)",1
"Šibensko-kninska županija","Croatia",1
"Sveti Nikole","Macedonia (FYROM)",1
"Tetovo","Macedonia (FYROM)",1
"Varaždinska županija","Croatia",1
NA,"Montenegro",1
