"country","streetname","n"
"bosnia-herzegovina","Maršala Tita",11
"bosnia-herzegovina","Titova",4
"bosnia-herzegovina","Titova ili Put Oficirske Škole",1
"bosnia-herzegovina","Trg maršala Tita",1
"bosnia-herzegovina","Ul Maršala Tita",1
"bosnia-herzegovina","ul. Maršala Tita",1
"croatia","Maršala Tita",6
"croatia","Ulica Maršala Tita",4
"croatia","Obala Maršala Tita",2
"croatia","Titov trg",2
"croatia","Hodaliste marsala tita",1
"croatia","Josipa Broza Tita",1
"croatia","Obala Josipa Broza Tita",1
"croatia","Obala m. Tita",1
"croatia","Poljana maršala Tita",1
"croatia","Trg J. B. Tita",1
"croatia","Trg Josipa Broza Tita",1
"croatia","Trg maršala Tita",1
"croatia","Trg Maršala Tita",1
"croatia","Ulica Josipa Broza Tita",1
"croatia","Ulica Josipa Broza-Tita",1
"macedonia","Маршал Тито",14
"macedonia","bul. Marsal Tito",1
"macedonia","Marsal Tito",1
"macedonia","Marshal Tito",1
"macedonia","ul. Marshal Tito",1
"macedonia","Кеј Маршал Тито",1
"macedonia","Титова Митровачка",1
"macedonia","Титовелешка",1
"macedonia","Титово Ужице",1
"macedonia","ул. Маршал Тито",1
"macedonia","Улица Маршал Тито",1
"montenegro","Marsala Tita",2
"montenegro","Gjergj Kastrioti - Skënderbeu / Maršal Tito",1
"montenegro","Josipa Broza Tita",1
"montenegro","Maršala Tita",1
"montenegro","Titove Korenice",1
"montenegro","trg Maršala Tita",1
"serbia","Maršala Tita",5
"serbia","Титоградска",4
"serbia","Aleja Maršala Tita",1
"serbia","Marsala Tita",1
"serbia","Ulica Marsala Tita",1
"serbia","Тито Маршал",1
"serbia","Титова",1
"slovenia","Titova ulica",3
"slovenia","Cesta maršala Tita",2
"slovenia","Titova cesta",2
"slovenia","Trg maršala Tita",2
"slovenia","Titov most",1
"slovenia","Titov trg",1
"slovenia","Titov trg / Piazza Tito",1
"slovenia","Titova - Nasipna",1
"slovenia","Ulica Josipa Broza-Tita",1
