english,spanish,french
critical shortages,escasez crítica,pénuries critiques
essential food,alimentos esenciales,aliments essentiels
famine,hambruna,famine
food aid,ayuda alimentaria,aide alimentaire
food crises,crisis alimentarias,crises alimentaires
food crisis,crisis alimentaria,crise alimentaire
food emergencies,emergencia alimentaria,urgences alimentaires
food emergency,emergencias alimentarias,urgence alimentaire
food insecure,inseguridad alimentaria,insécurité alimentaire
food insecurity,inseguridad alimentaria,insécurité alimentaire
food security,seguridad alimentaria,sécurité alimentaire
security of food,seguridad de los alimentos,sécurité alimentaire
food shortage,escasez de alimentos,pénurie alimentaire
food sovereignty,soberanía alimentaria,souveraineté alimentaire
food stocks,existencias de alimentos,stocks alimentaires
non-trade concern,preocupación no comercial,préoccupation non commerciale
nutritional objectives,objetivos nutricionales,objectifs nutritionnels
nutrition security,seguridad nutricional,sécurité nutritionnelle
shortages of foodstuff,escasez de productos alimenticios,pénuries de denrées alimentaires
shortages of foodstuffs,escasez de productos alimenticios,pénuries de denrées alimentaires
special safeguard mechanism,mecanismo de salvaguardia especial,mécanisme de sauvegarde spéciale
special treatment clause,cláusula de trato especial,clause de traitement spécial
stocks of agricultural products,existencias de productos agrícolas,stocks de produits agricoles
public stockholding for food security purposes,constitución de existencias públicas con fines de seguridad alimentaria,détention de stocks publics à des fins de sécurité alimentaire
right to adequate food,derecho a una alimentación adecuada,droit à une alimentation adéquate
right to food,derecho a la alimentación,droit à l'alimentatio
traditional diet,dieta tradicional,régime alimentaire traditionnel
livelihood security,seguridad de los medios de vida,sécurité des moyens de subsistance
food self-sufficient,autosuficiente en alimentos,autosuffisant en nourriture
food self-sufficiency,autosuficiencia alimentaria,autosuffisance alimentaire
